START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,TIME_DAY,TIME_OF_DAY,MONTH_OF_THE_RIDE,DAY_OF_THE_RIDE,DURATION_OF_THE_RIDE
2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,21,Evening,Jan,Fri,6.0
2016-02-01 01:25:00,2016-02-01 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,UNKNOWN,1,Night,Feb,Mon,12.0
2016-02-01 20:25:00,2016-02-01 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,20,Evening,Feb,Mon,13.0
2016-05-01 17:31:00,2016-05-01 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,17,Afternoon,May,Sun,14.0
2016-06-01 14:42:00,2016-06-01 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,14,Afternoon,June,Wed,67.0
2016-06-01 17:15:00,2016-06-01 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,17,Afternoon,June,Wed,4.0
2016-06-01 17:30:00,2016-06-01 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,17,Afternoon,June,Wed,5.0
2016-07-01 13:27:00,2016-07-01 13:33:00,Business,Cary,Cary,0.8,Meeting,13,Afternoon,July,Fri,6.0
2016-10-01 08:05:00,2016-10-01 08:25:00,Business,Cary,Morrisville,8.3,Meeting,8,Morning,Oct,Sat,20.0
2016-10-01 12:17:00,2016-10-01 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,12,Afternoon,Oct,Sat,27.0
2016-10-01 15:08:00,2016-10-01 15:51:00,Business,New York,Queens,10.8,Meeting,15,Afternoon,Oct,Sat,43.0
2016-10-01 18:18:00,2016-10-01 18:53:00,Business,Elmhurst,New York,7.5,Meeting,18,Evening,Oct,Sat,35.0
2016-10-01 19:12:00,2016-10-01 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,19,Evening,Oct,Sat,20.0
2016-11-01 08:55:00,2016-11-01 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,8,Morning,Nov,Tues,26.0
2016-11-01 11:56:00,2016-11-01 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,11,Morning,Nov,Tues,7.0
2016-11-01 13:32:00,2016-11-01 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,13,Afternoon,Nov,Tues,14.0
2016-11-01 14:30:00,2016-11-01 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,14,Afternoon,Nov,Tues,13.0
2016-12-01 12:33:00,2016-12-01 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,12,Afternoon,Dec,Thurs,16.0
2016-12-01 12:53:00,2016-12-01 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,12,Afternoon,Dec,Thurs,16.0
